state,district,year,quarter,transaction_count,transaction_amount,log_transaction_amount
Andhra Pradesh,kurnool district,2019,1,4193432,5541564892.509682,22.43554276957062
Andhra Pradesh,chittoor district,2019,1,6486813,8223371732.233585,22.830246148435773
Andhra Pradesh,guntur district,2019,1,4846553,7765934169.404485,22.773012591578766
Andhra Pradesh,krishna district,2019,1,5443981,9061346433.072681,22.927283558991782
Andhra Pradesh,east godavari district,2019,2,4699261,9116404622.47651,22.93334133342166
Andhra Pradesh,srikakulam district,2019,2,2019203,4066576539.936839,22.12606733770722
Andhra Pradesh,spsr nellore district,2019,2,3141891,6880873007.4820595,22.65201137160945
Andhra Pradesh,vizianagaram district,2019,2,2272320,4443041665.039663,22.214605038762954
Andhra Pradesh,visakhapatnam district,2019,2,11705738,20797479804.029076,23.75809765309307
Andhra Pradesh,prakasam district,2019,2,2670529,6262396448.455349,22.557828768203578
Andhra Pradesh,anantapur district,2019,2,3578836,7830782361.377665,22.781328260524347
Andhra Pradesh,ysr district,2019,2,2606284,6376856828.130632,22.57594115289542
Andhra Pradesh,west godavari district,2019,2,2402074,5676818258.955046,22.45965674722729
Andhra Pradesh,kurnool district,2019,2,3895824,7358285187.018034,22.719092751782213
Andhra Pradesh,chittoor district,2019,2,5983308,10982727976.224325,23.11958969182542
Andhra Pradesh,guntur district,2019,2,5005275,10405246943.481495,23.065576029761846
Andhra Pradesh,krishna district,2019,2,6428472,13437029115.620754,23.321280099736253
Andhra Pradesh,east godavari district,2019,3,6537303,11387726470.57774,23.155801987069328
Andhra Pradesh,srikakulam district,2019,3,2556296,4610131289.524039,22.251522173055733
Andhra Pradesh,spsr nellore district,2019,3,4150195,8256600118.735449,22.83427873196535
Andhra Pradesh,vizianagaram district,2019,3,2861581,4922069039.19216,22.316994815674306
Andhra Pradesh,visakhapatnam district,2019,3,16694947,26944837120.046288,24.01705754344614
Andhra Pradesh,prakasam district,2019,3,3430750,7354502261.150911,22.71857851531094
Andhra Pradesh,anantapur district,2019,3,4889720,9554081289.488277,22.980234260407215
Andhra Pradesh,ysr district,2019,3,3296586,7447544274.2117815,22.731150187510448
Andhra Pradesh,west godavari district,2019,3,3179541,6627629029.01413,22.61451296481974
Andhra Pradesh,kurnool district,2019,3,5139134,9025632779.412457,22.923334452880596
Andhra Pradesh,chittoor district,2019,3,8201783,13837455758.755266,23.350644937849065
Andhra Pradesh,guntur district,2019,3,6942304,13075661264.188034,23.29401842039391
Andhra Pradesh,krishna district,2019,3,8408474,16404073560.500784,23.520795528829787
Andhra Pradesh,east godavari district,2019,4,9285739,16816774065.301317,23.54564268155711
Andhra Pradesh,srikakulam district,2019,4,3712555,6832369301.879345,22.644937346842866
Andhra Pradesh,spsr nellore district,2019,4,5877804,11786014089.194027,23.19017941886405
Andhra Pradesh,vizianagaram district,2019,4,3998234,7175851807.068796,22.69398731044017
Andhra Pradesh,visakhapatnam district,2019,4,23594874,39133296330.044624,24.390239510127845
Andhra Pradesh,prakasam district,2019,4,4865473,10604077824.801035,23.084504464633415
Andhra Pradesh,anantapur district,2019,4,6764112,13887248889.064066,23.354236910025122
Andhra Pradesh,ysr district,2019,4,4793157,10865073855.730783,23.108819248305956
Andhra Pradesh,west godavari district,2019,4,4596479,9710614747.20177,22.99648542807997
Andhra Pradesh,kurnool district,2019,4,7001958,13233105728.54823,23.305987536545064
Andhra Pradesh,chittoor district,2019,4,11246986,19298476027.875484,23.683291967505138
Andhra Pradesh,guntur district,2019,4,9761330,18565626418.035915,23.64457766594189
Andhra Pradesh,krishna district,2019,4,11719402,23039786404.04664,23.860488402116832
Andhra Pradesh,east godavari district,2020,1,11346242,21854701379.428688,23.807681901495435
Andhra Pradesh,srikakulam district,2020,1,4835092,9777575594.177538,23.003357396108676
Andhra Pradesh,spsr nellore district,2020,1,7430247,15387829694.446861,23.456842754414083
Andhra Pradesh,vizianagaram district,2020,1,5042066,9879174240.920494,23.013694766460304
Andhra Pradesh,visakhapatnam district,2020,1,27115031,48809747614.678894,24.61119587608182
Andhra Pradesh,prakasam district,2020,1,6318396,14169104764.526735,23.374329710496983
Andhra Pradesh,anantapur district,2020,1,8466129,17864325752.82528,23.606071586529904
Andhra Pradesh,ysr district,2020,1,6031255,14059924636.819912,23.366594363273308
Andhra Pradesh,west godavari district,2020,1,5919670,12995834340.716236,23.287894707805005
Andhra Pradesh,kurnool district,2020,1,8246869,17022710311.813046,23.557814190234826
Andhra Pradesh,chittoor district,2020,1,13257740,23441848567.344193,23.877788662382844
Andhra Pradesh,guntur district,2020,1,11493331,22992734620.64621,23.85844411695768
Andhra Pradesh,krishna district,2020,1,12175289,24481702770.71471,23.921191849839598
Andhra Pradesh,east godavari district,2020,2,13130334,26319906327.32029,23.993591384442798
Andhra Pradesh,srikakulam district,2020,2,6425515,12153650076.875832,23.220895379548704
Andhra Pradesh,spsr nellore district,2020,2,9454274,20665376460.772232,23.75172550210552
Andhra Pradesh,vizianagaram district,2020,2,6690313,12819344389.545382,23.274221147548218
Andhra Pradesh,visakhapatnam district,2020,2,25300401,48293889917.41437,24.600570886878455
Andhra Pradesh,prakasam district,2020,2,8844580,19846026726.904335,23.711269659202863
Andhra Pradesh,anantapur district,2020,2,10473739,22094006659.412506,23.818572216854424
Andhra Pradesh,ysr district,2020,2,8033609,19597207268.132023,23.698652906761975
Andhra Pradesh,west godavari district,2020,2,7273096,16585866855.159784,23.53181677545977
Andhra Pradesh,kurnool district,2020,2,9821381,22419372061.805172,23.83319124629477
